"","NKR.OL.Open","NKR.OL.High","NKR.OL.Low","NKR.OL.Close","NKR.OL.Volume","NKR.OL.Adjusted"
"117",15.015,15.18,14.85,14.85,7044,3.544607
"118",14.85,15.84,14.63,15.84,236939,3.780914
"119",15.73,16.5,15.4,16.5,223752,3.938452
"120",16.5,17.6,16.5,17.379999,123344,4.148503
"121",17.6,17.6,17.049999,17.6,138117,4.201016
"122",17.6,17.6,16.83,16.83,65080,4.017221
"123",17.6,17.6,15.29,16.059999,76914,3.833426
"124",16.059999,16.280001,15.84,16.280001,15099,3.88594
"125",16.5,16.5,15.4,16.334999,61220,3.899067
"126",16.719999,16.719999,15.95,15.95,42769,3.80717
"127",15.95,15.95,15.73,15.73,108022,3.754658
"128",15.84,16.5,15.84,16.5,77870,3.938452
"129",16.940001,16.940001,16.5,16.719999,62880,3.990964
"130",16.83,16.83,16.334999,16.389999,11788,3.912195
"131",16.83,16.83,16.225,16.389999,70055,3.912195
"132",16.610001,17.049999,16.225,16.610001,78777,3.964709
"133",16.940001,16.940001,16.610001,16.610001,15500,3.964709
"134",16.610001,16.940001,16.5,16.719999,43316,3.990964
"135",16.5,16.5,16.17,16.17,24998,3.859683
"136",16.389999,16.5,16.17,16.5,42808,3.938452
"137",15.95,16.17,15.73,16.17,201098,3.859683
"138",16.389999,16.389999,16.059999,16.389999,10363,3.912195
"139",15.95,15.95,15.73,15.785,30366,3.767786
"140",15.95,16.17,15.73,16.17,52722,3.859683
"141",16.17,16.610001,15.95,16.610001,95847,3.964709
"142",16.610001,17.049999,16.334999,17.049999,126027,4.069734
"143",17.049999,17.049999,16.445,16.445,43671,3.925323
"144",16.940001,16.940001,16.5,16.5,1806,3.938452
"145",16.83,16.940001,16.059999,16.445,106548,3.925323
"146",16.5,16.5,16.389999,16.445,47554,3.925323
"147",16.280001,16.5,16.280001,16.5,43576,3.938452
"148",16.280001,16.719999,16.17,16.5,117196,3.938452
"149",16.445,16.445,15.565,15.73,29753,3.754658
"150",16.17,16.389999,16.17,16.389999,10000,3.912195
"151",20.02,21.450001,19.360001,19.799999,1898185,4.726142
"152",19.799999,19.799999,19.25,19.469999,193346,4.647373
"153",19.25,19.469999,18.700001,19.25,201374,4.594861
"154",19.25,19.25,18.370001,19.030001,201495,4.542348
"155",19.25,19.25,18.809999,19.030001,37355,4.542348
"156",19.139999,19.25,18.92,19.139999,97841,4.568604
"157",19.25,19.58,19.139999,19.58,25317,4.67363
"158",19.799999,19.799999,19.25,19.58,26420,4.67363
"159",19.030001,19.690001,19.030001,19.58,13819,4.67363
"160",19.58,19.58,19.58,19.58,0,4.67363
"161",18.700001,19.360001,18.700001,19.360001,12663,4.621117
"162",19.25,19.360001,18.809999,19.360001,66241,4.621117
